trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1649020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
168020,2,2,"NORTH SHORE",,0,3302,shp-2-51,1,2
1692020,33,2,"TREMONT + FRAZIER",,0,4802,shp-33-53,1,2
1695020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
1700070,10A,1,"AVONDALE UTC",,0,407,shp-10A-04,1,1
17020,14,2,"MOCS EXPRESS",,0,1402,shp-14-52,1,1
1707020,3,2,"DOWNTOWN",,1,5502,shp-3-51,1,1
1727020,28,2,"DOWNTOWN",,1,3902,shp-28-51,1,1
1728020,3,2,"ENTERPRISE SOUTH",,1,10002,shp-3-54,1,1
1735070,10A,1,"AVONDALE UTC",,0,607,shp-10A-04,1,1
1738010,33,3,"TREMONT + FRAZIER",,0,5001,shp-33-53,1,2
1743020,9,2,"EAST LAKE",,0,8902,shp-9-03,1,1
1781020,4,2,"EASTGATE HAMILTON PL",,1,6202,shp-4-70,1,1
1784020,14,2,"MOCS EXPRESS",,0,1302,shp-14-52,1,1
1790020,9,2,"DOWNTOWN",,1,9602,shp-9-52,1,1
1795020,14,2,"MOCS EXPRESS",,0,1402,shp-14-52,1,1
1800070,33,1,"SHUTTLE PARK SOUTH",,1,4207,shp-33-04,1,2
1801020,3,2,"DOWNTOWN",,1,6402,shp-3-51,1,1
182020,16,2,"DOWNTOWN",,1,8902,shp-16-20,1,1
1827010,21,3,"GOLDEN GATEWAY",,0,5801,shp-21-02,1,1
1863070,9,1,"EAST LAKE",,0,9507,shp-9-02,1,1
1866070,33,1,"SHUTTLE PARK SOUTH",,1,4507,shp-33-04,1,2
1868020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
1869070,4,1,"DOWNTOWN",,1,6907,shp-4-64,1,1
1871010,33,3,"SHUTTLE PARK SOUTH",,1,4501,shp-33-04,1,2
1875010,10A,3,"AVONDALE UTC",,0,101,shp-10A-01,1,1
1883010,16,3,"DOWNTOWN",,1,9501,shp-16-20,1,1
1889070,33,1,"SHUTTLE PARK SOUTH",,1,4207,shp-33-04,1,2
1897020,16,2,"NORTHGATE",,0,9102,shp-16-06,1,1
1900020,33,2,"TREMONT + FRAZIER",,0,5002,shp-33-53,1,2
192070,21,1,"GOLDEN GATEWAY",,0,3407,shp-21-01,1,1
1922020,33,2,"SHUTTLE PARK SOUTH",,1,4802,shp-33-04,1,2
1929070,34,1,"TREMONT + FRAZIER",,0,5307,shp-34-54,1,2
1931020,33,2,"SHUTTLE PARK SOUTH",,1,4902,shp-33-04,1,2
1933070,1,1,"ALTON PARK",,0,107,shp-1-04,1,1
1937020,33,2,"SHUTTLE PARK SOUTH",,1,5002,shp-33-04,1,2
1941010,33,3,"TREMONT + FRAZIER",,0,4901,shp-33-53,1,2
1945070,33,1,"SHUTTLE PARK SOUTH",,1,4707,shp-33-04,1,2
1953020,15,2,"ST. ELMO/INCLINE",,1,1802,shp-15-02,1,2
196020,14,2,"MOCS EXPRESS",,1,1502,shp-14-04,1,1
1961020,14,2,"MOCS EXPRESS",,1,1502,shp-14-04,1,1
1963020,1,2,"DOWNTOWN",,1,2302,shp-1-66,1,1
1978020,33,2,"TREMONT + FRAZIER",,0,4502,shp-33-53,1,2
1979020,4,2,"DOWNTOWN",,1,6902,shp-4-64,1,1
1983070,33,1,"SHUTTLE PARK SOUTH",,1,4207,shp-33-04,1,2
202020,33,2,"SHUTTLE PARK SOUTH",,1,4902,shp-33-04,1,2
